Time	pH	SI_ara	SI_cal	Ara	dAra	Cal	dCal
54.0000000000000000	8.9371201021427140	-0.0504411472637987	0.0984875149377995	0.0004981865352263	-0.0000013134647737	0.0005007317705607	0.0000012317705607
108.0000000000000000	8.9377477892350647	-0.0463010067543799	0.1026276554472183	0.0004969221109550	-0.0000012644242713	0.0005019924256736	0.0000012606551128
162.0000000000000000	8.9377864815524877	-0.0460465829431893	0.1028820792584089	0.0004956645144872	-0.0000012575964677	0.0005032497895861	0.0000012573639125
216.0000000000000000	8.9376960552757456	-0.0466413283969676	0.1022873338046306	0.0004944113744734	-0.0000012531400138	0.0005045034730561	0.0000012536834701
270.0000000000000000	8.9373939802782623	-0.0486317215787739	0.1002969406228242	0.0004931452175945	-0.0000012661568789	0.0005057714444028	0.0000012679713466
324.0000000000000000	8.9377379389379392	-0.0463657922693823	0.1025628699322159	0.0004918754214021	-0.0000012697961924	0.0005070391744261	0.0000012677300233
378.0000000000000000	8.9375587780427121	-0.0475451681875754	0.1013834940140228	0.0004906164011868	-0.0000012590202153	0.0005082992711108	0.0000012600966847
432.0000000000000000	8.9377149057949055	-0.0465173048244125	0.1024113573771857	0.0004893616054472	-0.0000012547957396	0.0005095531288030	0.0000012538576922
486.0000000000000000	8.9371732296195230	-0.0500897903039501	0.0988388718976481	0.0004881089905666	-0.0000012526148806	0.0005108089964512	0.0000012558676482
540.0000000000000000	8.9365908193037829	-0.0539510630829412	0.0949775991186570	0.0004868410261862	-0.0000012679643804	0.0005120804527813	0.0000012714563300
594.0000000000000000	8.9375970214361864	-0.0472932563284303	0.1016354058731679	0.0004855853573272	-0.0000012556688589	0.0005133300852335	0.0000012496324522
648.0000000000000000	8.9376782897687459	-0.0467582323068783	0.1021704298947199	0.0004843340900680	-0.0000012512672593	0.0005145808642149	0.0000012507789814
702.0000000000000000	8.9377109188450916	-0.0465435341056466	0.1023851280959516	0.0004830698780676	-0.0000012642120004	0.0005158448801417	0.0000012640159268
756.0000000000000000	8.9376757286343693	-0.0467750870737582	0.1021535751278400	0.0004818131972642	-0.0000012566808034	0.0005171017724079	0.0000012568922662
810.0000000000000000	8.9376146215161487	-0.0471773531413771	0.1017513090602211	0.0004805576189043	-0.0000012555783599	0.0005183577179201	0.0000012559455122
864.0000000000000000	8.9376993591395841	-0.0466195888932166	0.1023090733083816	0.0004793030698530	-0.0000012545490512	0.0005196117578221	0.0000012540399020
918.0000000000000000	8.9375514352422041	-0.0475935451539158	0.1013351170476824	0.0004780233932223	-0.0000012796766307	0.0005208923231815	0.0000012805653594
972.0000000000000000	8.9346589526519349	-0.0669121065746801	0.0820165556269181	0.0004767725837962	-0.0000012508094261	0.0005221604379210	0.0000012681147395
1026.0000000000000000	8.9376485275304436	-0.0469541227143555	0.1019745394872427	0.0004754999644235	-0.0000012726193727	0.0005234151686894	0.0000012547307684
1080.0000000000000000	8.9373189540780587	-0.0491269371907066	0.0998017250108916	0.0004742460900849	-0.0000012538743386	0.0005246710223348	0.0000012558536454
1134.0000000000000000	8.9375376286986334	-0.0476845174957479	0.1012441447058503	0.0004729964743351	-0.0000012496157498	0.0005259193249999	0.0000012483026652
1188.0000000000000000	8.9376003963216331	-0.0472710293025536	0.1016576328990446	0.0004717339482783	-0.0000012625260568	0.0005271814740067	0.0000012621490068
1242.0000000000000000	8.9370815237173939	-0.0506963915781622	0.0982322706234360	0.0004704762925698	-0.0000012576557085	0.0005284422446597	0.0000012607706530
1296.0000000000000000	8.9371469267540213	-0.0502637206051020	0.0986649415964962	0.0004692173618331	-0.0000012589307367	0.0005297007830088	0.0000012585383490
1350.0000000000000000	8.9370580693566701	-0.0508516169359048	0.0980770452656934	0.0004679589531684	-0.0000012584086647	0.0005309597247591	0.0000012589417503
1404.0000000000000000	8.9375622437561102	-0.0475223344242703	0.1014063277773278	0.0004666953089243	-0.0000012636442441	0.0005322203425540	0.0000012606177949
1458.0000000000000000	8.9371995345444759	-0.0499158869548673	0.0990127752467309	0.0004654366505103	-0.0000012586584140	0.0005334811786579	0.0000012608361040
1512.0000000000000000	8.9368793333748258	-0.0520356415379233	0.0968930206636749	0.0004641821559683	-0.0000012544945419	0.0005347375938605	0.0000012564152026
1566.0000000000000000	8.9374969636663106	-0.0479525302718216	0.1009761319297766	0.0004629149787507	-0.0000012671772176	0.0005360010648273	0.0000012634709668
1620.0000000000000000	8.9375530682518551	-0.0475827850407740	0.1013458771608242	0.0004616599148822	-0.0000012550638685	0.0005372557917122	0.0000012547268849
1674.0000000000000000	8.9372793902780394	-0.0493882194795461	0.0995404427220521	0.0004603975358225	-0.0000012623790597	0.0005385198140827	0.0000012640223705
1728.0000000000000000	8.9374836108875986	-0.0480405569535591	0.1008881052480390	0.0004591273315877	-0.0000012702042348	0.0005397887921840	0.0000012689781013
1782.0000000000000000	8.9375593516161960	-0.0475413876435624	0.1013872745580358	0.0004578686666005	-0.0000012586649872	0.0005410470022505	0.0000012582100665
1836.0000000000000000	8.9374437437435450	-0.0483034418122443	0.1006252203893538	0.0004566112684722	-0.0000012573981283	0.0005423050947147	0.0000012580924641
1890.0000000000000000	8.9375551754274962	-0.0475689015702816	0.1013597606313166	0.0004553579451688	-0.0000012533233034	0.0005435577487680	0.0000012526540533
1944.0000000000000000	8.9373806630757251	-0.0487195957214368	0.1002090664801614	0.0004541087115729	-0.0000012492335959	0.0005448080303802	0.0000012502816122
1998.0000000000000000	8.9374779779286229	-0.0480776946202113	0.1008509675813869	0.0004528556515319	-0.0000012530600410	0.0005460605060689	0.0000012524756887
